text|entity_start|entity_end|emotion_labels|emotions|emotion_count
He had never heard an unkind or uncourteous word spoken at home; he had always been loved and caressed and treated tenderly, and so his childish soul was full of kindness and innocent warm feeling.|17|18|[3]|['joy']|1
He had never seen her prettier, more charming, or more natural.|4|5|[3]|['joy']|1
He had not registered on board, and he was so ill he gave up the passage.|12|13|[1, 4]|['disgust', 'sadness']|2
He had resented her remaining oblivious of his presence when he stood near her, and he had resented her enjoyment of her surroundings; and now, as he led her away, leaving Lord Lansdowne rather disconsolate, he resented the fact that she did not seem nervous, or at all impressed by his silence.|37|42|[4]|['sadness']|1
He had resented her remaining oblivious of his presence when he stood near her, and he had resented her enjoyment of her surroundings; and now, as he led her away, leaving Lord Lansdowne rather disconsolate, he resented the fact that she did not seem nervous, or at all impressed by his silence.|47|48|[0]|['anger']|1
He had resented her remaining oblivious of his presence when he stood near her, and he had resented her enjoyment of her surroundings; and now, as he led her away, leaving Lord Lansdowne rather disconsolate, he resented the fact that she did not seem nervous, or at all impressed by his silence.|33|34|[3]|['joy']|1
He had spent a horrible quarter of an hour, between his desire to see Del Ferice punished and the promise he had given his wife to save him.|15|18|[2]|['fear']|1
He had spent a horrible quarter of an hour, between his desire to see Del Ferice punished and the promise he had given his wife to save him.|22|23|[0, 1, 2]|['anger', 'disgust', 'fear']|3
He had that day so often fancied him dead, lying on the floor of the workshop, or buried in a dark corner of the cellar, that the idea of meeting him, calm and well as ever, had something refreshing in it.|0|1|[2, 4]|['fear', 'sadness']|2
He has been faithful to you so long that I am sure he will make you happy.'|15|16|[3]|['joy']|1
He has dreamed too much and reflected too much on the meaning of life; his suffering is too original in himself, too self-centred, and at the same time too much, based on the inherent misery of existence, to allow him to project himself into and suffer with any individual grief, no matter how nearly it might be allied to him and to his personal interest.|0|1|[1, 2, 4]|['disgust', 'fear', 'sadness']|3
He has some right to be angry with me.|0|1|[0, 1]|['anger', 'disgust']|2
He has the enthusiasm of humanity so strong upon him that you can't help agreeing with him as long as he's talking to you.'|21|22|[3, 5]|['joy', 'surprise']|2
He heard me to the end in evident incredulity and alarm, and hinted at the possibility of madness.|0|1|[0, 2]|['anger', 'fear']|2
He himself escaped behind the scenes as soon as Miss Bretherton's last recall was over, and the box was filled in his absence with a stream of friends, and a constant murmur of congratulation, which was music in the ears of Madame de Chacteauvieux, and, for the moment, silenced in Kendal his own throbbing and desolate consciousness.|0|1|[2]|['fear']|1
He hurried his pleading like the speech of a frightened child.|0|1|[2, 5]|['fear', 'surprise']|2
He is almost at his last gasp,' said Kendal, with a ghostly smile, and a reckless impulse to talk which seemed to him his salvation.|0|1|[2, 5]|['fear', 'surprise']|2
He is almost at his last gasp,' said Kendal, with a ghostly smile, and a reckless impulse to talk which seemed to him his salvation.|29|30|[5]|['surprise']|1
He is badly hurt, but not dead; is that it, Gigia?|0|1|[0, 2, 4]|['anger', 'fear', 'sadness']|3
He is dying.|0|1|[2, 4]|['fear', 'sadness']|2
He is furious, especially as some ill-natured person has printed it in a Society paper.|0|1|[0, 1]|['anger', 'disgust']|2
He is just now laughing heartily at a batch of the schoolmaster's scholars who are casting lots close at hand.|0|1|[3]|['joy']|1
He is kind and good, and he was sorry for you, for little lost Sara Crewe's sake.|7|8|[3]|['joy']|1
He is kind and good, and he was sorry for you, for little lost Sara Crewe's sake.|11|12|[2, 4]|['fear', 'sadness']|2
He is probably crazy, said an Englishman.|0|1|[0, 2, 4]|['anger', 'fear', 'sadness']|3
He is safe now, she murmured very faintly.|0|1|[3]|['joy']|1
He is too patient to be ever wrathful; and barbaric ignorance confronts us again in the notion that He should need to be appeased.|14|15|[1]|['disgust']|1
He knew his weakness in this direction, and now he gladly welcomed the coming of grief, for indeed he had felt not a little shocked at the aridness of his heart, and frightened lest his eyes should remain dry even to the end.|20|21|[2, 4, 5]|['fear', 'sadness', 'surprise']|3
He laughed and resumed his seat at the breakfast-table.|0|1|[3, 5]|['joy', 'surprise']|2
He looked upon her sourly for a little.|3|4|[1]|['disgust']|1
He looks at me sometimes with a loving, wondering little look, as if he were sorry for me, and then he will come and pet me or show me something.|23|24|[3]|['joy']|1
He looks very unhappy, said her daughter.|0|1|[4]|['sadness']|1
He looks very wild, said a New York mamma.|0|1|[5]|['surprise']|1
He lost all consciousness of the crowd; his whole soul seemed concentrated on that one instant.|0|1|[2, 4]|['fear', 'sadness']|2
He may abuse me and be welcome, said Nino.|9|11|[0, 1, 2, 4]|['anger', 'disgust', 'fear', 'sadness']|4
He might laugh at the existence of the soul and jest about the future state after death; he could not escape from the future in this life if he did the deed he contemplated.|34|35|[1, 2, 3, 4, 5]|['disgust', 'fear', 'joy', 'sadness', 'surprise']|5
He must be deformed somewhere; he gives a strong feeling of deformity, although I couldn't specify the point.|7|8|[1, 2, 4]|['disgust', 'fear', 'sadness']|3
He only thought he had lost it; and because he loved him so much his grief made him so ill that for a time he was not in his right mind.|25|26|[2, 4]|['fear', 'sadness']|2
He only thought he had lost it; and because he loved him so much his grief made him so ill that for a time he was not in his right mind.|25|26|[3]|['joy']|1
He only thought he had lost it; and because he loved him so much his grief made him so ill that for a time he was not in his right mind.|18|19|[1, 4]|['disgust', 'sadness']|2
He only thought he had lost it; and because he loved him so much his grief made him so ill that for a time he was not in his right mind.|29|30|[4]|['sadness']|1
He ought to be at school, only he's had such a dreadful cough we're afraid to send him out just yet.|8|9|[1, 2, 4]|['disgust', 'fear', 'sadness']|3
He ought to be at school, only he's had such a dreadful cough we're afraid to send him out just yet.|15|16|[2]|['fear']|1
He ran his arm through the bridle of his horse and walked by his enemy's side.|14|15|[0, 1, 2]|['anger', 'disgust', 'fear']|3
He receives their conciliatory attentions with a somewhat too palpable effort at cordiality, but he is only less timid than before.|20|21|[2, 4]|['fear', 'sadness']|2
He reproached himself for having dreamed of her rather as a wife than as a sister, and then all art and all conscience went down as a broken wreck in the wild washing sea of deep human love: he knelt by her bedside, and sobbed piteously, a man whose life is broken.|41|42|[4]|['sadness']|1
He seemed not at all displeased.|0|1|[0, 1, 4]|['anger', 'disgust', 'sadness']|3
He seemed to feel that every one was his friend, and when any one spoke to him, when he was in his carriage in the street, he would give the stranger one sweet, serious look with the brown eyes, and then follow it with a lovely, friendly smile; and the consequence was, that there was not a person in the neighborhood of the quiet street where he lived--even to the groceryman at the corner, who was considered the crossest creature alive--who was not pleased to see him and speak to him.|74|75|[3, 5]|['joy', 'surprise']|2
He smoked and kicked the chairs and read his novel, and was generally extremely uneasy, so that the clerks began to find him a nuisance, not having any idea that he was a real living swell. |33|34|[0, 1, 2]|['anger', 'disgust', 'fear']|3
"He spoke out loudly: ""We will save him and thee if we are able,"" he cried in brave enthusiasm for his chief."|17|18|[4]|['sadness']|1
He spoke proudly and fondly.|0|1|[3]|['joy']|1
He stayed outside the bathing-house fully half an hour, and then disappeared.|0|1|[2]|['fear']|1
He thought him a very rich and powerful person, he had so many things in his store,--prunes and figs and oranges and biscuits,--and he had a horse and wagon.|2|3|[3]|['joy']|1
He thought such rapture disproportionate to the cause, and regarded it grudgingly.|0|1|[3]|['joy']|1
He told him he might live as he pleased, and die where he pleased, that he should be cut off from his family forever, and that he need never expect help from his father as long as he lived.|40|41|[2, 4]|['fear', 'sadness']|2
He tried to force his attention upon the details of the design he meditated against his brother's life, and for some time he succeeded.|25|26|[3, 5]|['joy', 'surprise']|2
He was a man who had naturally a rather hot temper, and he did not wish it to get too much the better of him.|13|14|[0]|['anger']|1
He was allus that jealous of the pore innocent thing, mem--castin' in her teeth things as I couldn't bring myself not even to 'int at in your presence, Miss Woodstock, mem.|0|1|[0, 1]|['anger', 'disgust']|2
He was always amused and interested, and he began to find an actual pleasure in the possession of the wealth he had imagined that he loathed the burden of.|25|26|[3]|['joy']|1
He was always amused and interested, and he began to find an actual pleasure in the possession of the wealth he had imagined that he loathed the burden of.|25|26|[0, 1]|['anger', 'disgust']|2
He was austere with himself; drank gin when he was alone, to mortify a taste for vintages; and though he enjoyed the theatre, had not crossed the doors of one for twenty years.|26|27|[4]|['sadness']|1
He was austere with himself; drank gin when he was alone, to mortify a taste for vintages; and though he enjoyed the theatre, had not crossed the doors of one for twenty years.|26|27|[3]|['joy']|1
He was impatient with himself, and annoyed by the persistency of the impression that Paolo was in some way present in the place.|16|18|[0, 1]|['anger', 'disgust']|2
He was never as vicious a creature as you thought him, and Miss Bretherton has had no difficulty in slaying him.|0|1|[0, 1]|['anger', 'disgust']|2
He was not given to bullying his servants, and always regretted being hasty with them, but his conviction had been strong that the message ought to have come in the night.|0|1|[4]|['sadness']|1
He was not much more than a baby, but that thought was in his mind whenever he climbed upon her knee and kissed her and put his curly head on her neck, and when he brought his toys and picture-books to show her, and when he curled up quietly by her side as she used to lie on the sofa.|50|51|[3, 5]|['joy', 'surprise']|2
He was not old enough to know of anything else to do, so he did what he could, and was more of a comfort to her than he could have understood.|27|28|[3]|['joy']|1
"He was one of those men who were used and despised by their betters, and in using whom Cavour himself was provoked into writing ""Se noi facessimo per noi quel che faciamo per l'Italia, saremmo gran bricconi""--if we did for ourselves what we do for Italy, we should be great blackguards."|0|1|[0, 1]|['anger', 'disgust']|2
He was pale now, for the flush that had been in his cheeks had subsided; his eyelids, which had been half open, had dropped and closed, so that he seemed to be sleeping peacefully, ready to wake at the slightest sound.|35|36|[3]|['joy']|1
He was perfectly cool and made no resistance, but gave me one look, so ugly that it brought out the sweat on me like running.|0|1|[1]|['disgust']|1
He was resigning himself to the inevitable, in the strength of that quiet which sometimes ensues upon despair.|0|1|[4]|['sadness']|1
He was surprised to see Mary staring at him in a dumfounded fashion, and he wondered why she kept shaking her head.|18|19|[5]|['surprise']|1
He was to go to-morrow, but I had little hope of ever seeing him back again.|9|10|[1, 5]|['disgust', 'surprise']|2
He was under the influence of the most violent emotion, and his face betrayed something of what he felt.|18|19|[1, 4]|['disgust', 'sadness']|2
He was very angry with himself for not having put it into better shape, and he determined to repair his error by devoting himself entirely to watching for the steamer. |16|17|[0]|['anger']|1
He was very angry with himself for not having put it into better shape, and he determined to repair his error by devoting himself entirely to watching for the steamer. |16|17|[4]|['sadness']|1
He was weak and broken with long illness and trouble, but he looked at her with the look she remembered in her father's eyes--that look of loving her and wanting to take her in his arms.|12|13|[0, 4]|['anger', 'sadness']|2
He was weak and broken with long illness and trouble, but he looked at her with the look she remembered in her father's eyes--that look of loving her and wanting to take her in his arms.|36|37|[3]|['joy']|1
He was well stricken in years, and his hair and beard were very white.|0|1|[4]|['sadness']|1
He watched the group in the distant corner, and its very remoteness and removal from his personal knowledge and concern, moved him to passionate grief and tears....|25|26|[4]|['sadness']|1
He went away in a sort of ill temper because I would not let him abuse you as much as he pleased.|20|21|[1, 4]|['disgust', 'sadness']|2
He went to Plymouth Grammar School, I remember now, with a nomination no doubt; and there, I dare say, he attracted some attention, being a decent, hard-working lad, and got sent to Oxford with a sizarship, or something of the sort; there are all kinds of arrangements like that at the Universities,  I believe, to encourage poor young men of respectable character.|25|26|[5]|['surprise']|1
He would be aware of the great field of lamps of a nocturnal city; then of the figure of a man walking swiftly; then of a child running from the doctor's; and then these met, and that human Juggernaut trod the child down and passed on regardless of her screams.|57|58|[0, 1, 2, 5]|['anger', 'disgust', 'fear', 'surprise']|4
He would never read it now; or perhaps he should read it in memory of her, of her whom yesterday he parted with on the hills,--her little puritan look, her external girlishness, her golden brown hair and the sudden laugh so characteristic of her....|53|54|[3, 5]|['joy', 'surprise']|2
He would not have Paolo die.|4|6|[2, 4]|['fear', 'sadness']|2
He would not own to himself that such a senseless fear could have produced a permanent impression on him, and yet he felt disturbed and unsettled, unaccountably discomposed, and altogether uncomfortable.|22|23|[0, 2]|['anger', 'fear']|2
He would not own to himself that such a senseless fear could have produced a permanent impression on him, and yet he felt disturbed and unsettled, unaccountably discomposed, and altogether uncomfortable.|22|23|[0, 1, 4]|['anger', 'disgust', 'sadness']|3
He would not see you now, just going into port, but I will go and ask him, added the officer kindly, seeing how much distressed the other seemed to be.|21|23|[3]|['joy']|1
He's always dirtying hisself.|0|1|[1]|['disgust']|1
He's gone to the bad, and there's no help for it.'|0|1|[1, 4]|['disgust', 'sadness']|2
He, Guido Ferrari, also joined occasionally with others in the good-natured mockery I brought down upon myself by my shrinking dislike of women.|20|21|[0, 1]|['anger', 'disgust']|2
He, Guido Ferrari, also joined occasionally with others in the good-natured mockery I brought down upon myself by my shrinking dislike of women.|0|1|[1]|['disgust']|1
He, in whom jealousy has taken fierce root, refuses with reproach and insult, and in the full tide of her passionate reaction against his tyranny, the news is brought her by Beatriz that Fernan, in his determination to avoid the duel with Macias on the morrow, which the Duke, in accordance with knightly usage, has been forced to grant, has devised means for assassinating his rival in prison.|60|62|[0, 2]|['anger', 'fear']|2
He, in whom jealousy has taken fierce root, refuses with reproach and insult, and in the full tide of her passionate reaction against his tyranny, the news is brought her by Beatriz that Fernan, in his determination to avoid the duel with Macias on the morrow, which the Duke, in accordance with knightly usage, has been forced to grant, has devised means for assassinating his rival in prison.|0|1|[0, 1, 2, 4]|['anger', 'disgust', 'fear', 'sadness']|4
He, in whom jealousy has taken fierce root, refuses with reproach and insult, and in the full tide of her passionate reaction against his tyranny, the news is brought her by Beatriz that Fernan, in his determination to avoid the duel with Macias on the morrow, which the Duke, in accordance with knightly usage, has been forced to grant, has devised means for assassinating his rival in prison.|82|83|[2, 4]|['fear', 'sadness']|2
Heaven knows how--he has escaped.|5|6|[2]|['fear']|1
Her beauty dazzled and overcame me.|0|1|[3]|['joy']|1
Her extraordinary grace, her marvellous beauty were all subordinated to, forgotten almost in the supreme human passion speaking through her.|24|25|[3]|['joy']|1
Her husband--Miss Hurst was told--had deserted her, leaving her entirely without means, and now, but for Mrs. Sprowl's charity, she would have been in the workhouse.|14|15|[0, 1, 2, 4]|['anger', 'disgust', 'fear', 'sadness']|4
Her limbs relaxed suddenly, and she fell straight backwards.|0|1|[5]|['surprise']|1
Her mute sympathy and her deep distress touched him, while, at the same time, they seemed to quench the last spark of hope in him.|4|5|[0, 1, 2, 4]|['anger', 'disgust', 'fear', 'sadness']|4
Her mute sympathy and her deep distress touched him, while, at the same time, they seemed to quench the last spark of hope in him.|28|29|[3, 5]|['joy', 'surprise']|2
Her one thought was to save the man she loved, but she saw well enough that it was too late.|12|13|[3]|['joy']|1
Her present to Lucia, who was one of her bridesmaids, dazzled all beholders.|10|11|[3]|['joy']|1
Her pride in Adela was boundless.|0|1|[3]|['joy']|1
Her soft voice trembled--for she was uttering her own sentence of death.|7|8|[0, 1, 2, 4]|['anger', 'disgust', 'fear', 'sadness']|4
Her veil had been thrown back by accident or design, and for one brief moment I drank in that soul-tempting glance, that witch-like smile!|16|17|[1, 2]|['disgust', 'fear']|2
Here he and his dark bride dwelt in perfect unity and happiness, in the midst of their own lands, surrounded by their own people, and wholly devoted to each other.|1|6|[3]|['joy']|1
Here he and his dark bride dwelt in perfect unity and happiness, in the midst of their own lands, surrounded by their own people, and wholly devoted to each other.|3|4|[3]|['joy']|1
Here he is,' cried Madame de Châteauvieux, betraying her suppressed excitement in her nervous little start.|5|15|[1, 4]|['disgust', 'sadness']|2
Here he is,' cried Madame de Châteauvieux, betraying her suppressed excitement in her nervous little start.|22|23|[0, 2, 4]|['anger', 'fear', 'sadness']|3
Here the Indian gentleman lost his temper.|1|5|[2, 4]|['fear', 'sadness']|2
Here we must die like men, and like priests of the Lord before His altar.|1|2|[2, 4]|['fear', 'sadness']|2
Herr Roederer, with too much of an author's licence, makes a great figure of his hero - poses him, indeed, to be the centre-piece and cloud-compeller of the whole.|20|21|[3, 5]|['joy', 'surprise']|2
His arguments failed to convince me.|0|1|[0]|['anger']|1
His auditors were led to imagine that his love affair was nearer his heart than he admitted, and that he had a design on his own life.  |26|27|[3]|['joy']|1
His brief favour with the Duke he could not find it in his heart to mourn; with Joan to wife, and my Lord Foxham for a faithful patron, he looked most happily upon the future; and in the past he found but little to regret.|46|47|[3, 4]|['joy', 'sadness']|2
His face desperately worked; his whole body was shaken by contorting spasms.|5|6|[2]|['fear']|1
His face was very grave, and his features had something in them that none of the three had seen before--something almost of grandeur.|7|8|[4]|['sadness']|1
His fancy called up pictures of Paolo lying wounded in bed, and he dreaded to face the sight.|0|1|[3]|['joy']|1
His fancy called up pictures of Paolo lying wounded in bed, and he dreaded to face the sight.|14|15|[2]|['fear']|1
His fears grew to terror as the life seemed to ebb away from the white face.|0|1|[0, 2]|['anger', 'fear']|2
His greatest charm was this cheerful, fearless, quaint little way of making friends with people.|0|1|[3, 5]|['joy', 'surprise']|2
His hand had imparted something to the features of the dying head which had not been there before, and as he stood over the bench he knew that he had surpassed his greatest work.|33|34|[2, 4]|['fear', 'sadness']|2
His home would have been a hell, instead of being emancipated from tyranny as he had at first imagined.|17|18|[2, 4]|['fear', 'sadness']|2
His honour is satisfied; death and battle are before him, and the proud Castilian is almost at peace.|15|17|[3]|['joy']|1
His love will never fall, whoever else's may.|0|1|[3]|['joy']|1
His name was Mr. Hobbs, and Cedric admired and respected him very much.|10|13|[3]|['joy']|1
His silence was so prolonged that Madame de Châteauvieux was startled by it.|6|16|[2, 5]|['fear', 'surprise']|2
His thoughts were both quiet and happy.|0|1|[3]|['joy']|1
His valet, who was in the room when it came, thought his lordship would have a fit of apoplexy, he was so wild with anger.|26|27|[0, 5]|['anger', 'surprise']|2
His was a very faithful and simple nature, and since he had loved Beatrice, it had been even further simplified.|11|12|[3]|['joy']|1
Hitherto it had touched him on the intellectual side alone; but now his imagination also was engaged, or rather enslaved; and as he lay and tossed in the gross darkness of the night and the curtained room, Mr. Enfield's tale went by before his mind in a scroll of lighted pictures.|27|28|[0, 1, 2, 4]|['anger', 'disgust', 'fear', 'sadness']|4
How I wish I could entertain you here; but with this crowd it is impossible.'|3|4|[3]|['joy']|1
How dark the world was when she snubbed you, as she often did, the little rogue, just to see you look wretched; how sunny when she smiled!|31|32|[3, 5]|['joy', 'surprise']|2
How dark the world was when she snubbed you, as she often did, the little rogue, just to see you look wretched; how sunny when she smiled!|24|25|[1, 4]|['disgust', 'sadness']|2
How delicious it was to tell her that you loved her, that you lived for her, that you would die for her!|19|20|[2, 3, 4]|['fear', 'joy', 'sadness']|3
"How furious,"" she remarked cheerfully, ""how furious Lady Theobald will be!"" "|11|15|[0, 1]|['anger', 'disgust']|2
"How furious,"" she remarked cheerfully, ""how furious Lady Theobald will be!"" "|3|4|[3]|['joy']|1
How impossible it was for you to go out at any time of the day or night without finding yourself eventually opposite her windows!|5|6|[4]|['sadness']|1
How jealous you were of every one about her!|2|3|[0, 1]|['anger', 'disgust']|2
How miserable you were when you had offended her!|5|6|[0, 1, 4]|['anger', 'disgust', 'sadness']|3
How pretty Edie do look in her new dress, to be sure, Harry.|2|4|[3]|['joy']|1
How proud you were to do her bidding!|2|3|[3]|['joy']|1
How thankful I am that heaven has sent Beatrice such a man as you!|2|3|[3]|['joy']|1
How well he remembered her words, her laughter, and now ... now; was it possible he never would hear her laugh again?|22|23|[3, 5]|['joy', 'surprise']|2
How you did rave, to be sure, what floods of extravagant nonsense you poured forth, and oh, how cruel it was of her to pretend not to believe you!|26|27|[0, 1, 4]|['anger', 'disgust', 'sadness']|3
How you did rave, to be sure, what floods of extravagant nonsense you poured forth, and oh, how cruel it was of her to pretend not to believe you!|32|33|[3, 5]|['joy', 'surprise']|2
How you hated every man she shook hands with, every woman she kissed--the maid that did her hair, the boy that cleaned her shoes, the dog she nursed--though you had to be respectful to the last-named!|31|32|[3, 5]|['joy', 'surprise']|2
How you hated every man she shook hands with, every woman she kissed--the maid that did her hair, the boy that cleaned her shoes, the dog she nursed--though you had to be respectful to the last-named!|36|37|[0, 1, 2, 4]|['anger', 'disgust', 'fear', 'sadness']|4
However badly I may have expressed myself, I am very much in love with you.|9|10|[3, 4]|['joy', 'sadness']|2
However, on the whole, she was as good as such a wild creature could be, and the children and she had some capital times together.|23|24|[5]|['surprise']|1
Hubert and the vicar of Wanley stood there together one morning in late April, more than a year after the death of Richard Mutimer.|28|32|[1, 2, 4]|['disgust', 'fear', 'sadness']|3
I am a very quiet man, as a usual thing; but, my dear sir, you are either going to oblige me in the little matter of which you are aware, or you shall very bitterly repent that you ever admitted me to your ante-chamber.''|43|44|[0, 1, 4]|['anger', 'disgust', 'sadness']|3
I am afraid you will have to wait till we are in, said the friendly officer.|0|1|[2]|['fear']|1
I am afraid you will have to wait till we are in, said the friendly officer.|16|17|[3]|['joy']|1
I am afraid, dear Edwin and Angelina, you expect too much from love.|0|1|[2]|['fear']|1
I am amply rewarded,' he said, bowing low.|0|1|[3, 5]|['joy', 'surprise']|2
"I am an old man--"" ""An old devil,"" said Nino hotly."|0|1|[0, 1, 2, 4]|['anger', 'disgust', 'fear', 'sadness']|4
"I am an old man--"" ""An old devil,"" said Nino hotly."|13|15|[0]|['anger']|1
I am ashamed of my long tongue.|0|1|[1, 4]|['disgust', 'sadness']|2
I am beside myself with joy. |0|1|[3]|['joy']|1
I am glad I did not do it, he said aloud after some minutes.|9|10|[3]|['joy']|1
I am glad I need not go back, said Sara.|3|4|[3]|['joy']|1
I am happier in speaking the words than I ever remember to have been in my life before.'|8|9|[3]|['joy']|1
I am justice of the peace here, and what is more, I am in my own house.|13|14|[3]|['joy']|1
I am not worth your anger, how much less to be forgiven!|4|5|[0]|['anger']|1
I am so GLAD it was you who were my friend!|0|1|[3]|['joy']|1
I am so glad, Sara said.|0|1|[3]|['joy']|1
I am so glad,--so glad, you do not know, said she, clasping her hands on his shoulder.|0|1|[3]|['joy']|1
I am so sorry, dear one, said Nino soothingly.|9|11|[3]|['joy']|1
"I am sorry, dear, said she in ready sympathy; ""were you fond of him?"""|7|8|[4]|['sadness']|1
I am sure you will be kind to Nellie, for I have known you for ten years--you may tell her I am very glad-- she stopped, her eyes brimming over with tears.|25|26|[3]|['joy']|1
I am sure you will be kind to Nellie, for I have known you for ten years--you may tell her I am very glad-- she stopped, her eyes brimming over with tears.|21|22|[3]|['joy']|1
I am--awfully happy to-day, and can't help talking.|0|1|[3]|['joy']|1
"I asked, half laughingly; ""I am no better than other men."""|8|9|[3]|['joy']|1
I believe I have loved her from the first moment.'|2|3|[3]|['joy']|1
I believe her associations with the play were so painful that it would have seemed an evil omen to her to begin a new season with it.'|20|21|[0, 1, 2, 4]|['anger', 'disgust', 'fear', 'sadness']|4
I believe you're going to  nurse Mrs. Lennox through this illness?' |8|14|[4]|['sadness']|1
I brought you here to ask you--to marry me.|0|1|[3, 5]|['joy', 'surprise']|2
I can do nothing but feed my love for you.|6|7|[3]|['joy']|1
I can sing anywhere now, but you must always choose, love.|7|8|[3]|['joy']|1
I can understand that you suppress that side of your nature.|4|5|[0, 2, 4]|['anger', 'fear', 'sadness']|3
I cannot put a pistol to my head and draw the trigger; for something stronger than myself withholds the act; and although I loathe life, I have not strength enough in my body to take hold of death and be done with it.  |30|31|[0, 1]|['anger', 'disgust']|2
I couldn't stop at home any longer, I am sick of it.'|9|10|[4]|['sadness']|1
I deemed my happiness perfect--with love, wealth, and friendship, what more could a man desire?|0|1|[3]|['joy']|1
I did but try you, Dickon, returned the knight, with an uneasy semblance of a laugh.|6|8|[1, 2, 5]|['disgust', 'fear', 'surprise']|3
I did warn him freely, but he was stout in his besottedness.|0|1|[2, 5]|['fear', 'surprise']|2
I didn't like to tell you, but I met him for the first time a week ago--quite by chance.'|9|10|[5]|['surprise']|1
I do not know how it was managed, for Hedwig was certainly a heretic when she left her father, though she was an angel, as Nino said.|10|12|[1]|['disgust']|1
"I don't know how I dare, Miss Amelia answered, with a kind of reckless courage; ""but now I've begun I may as well finish, whatever happens to me."|8|11|[1]|['disgust']|1
I don't like your tone, sir, said Booley angrily, again trying to push past the physician.|10|12|[0, 1]|['anger', 'disgust']|2
I don't rightly know who 'ee may mean, Miss Luttrell,' replied the mother proudly, 'by a young man lounging about the place; but my son's at home from Oxford at present for his vacations, and he isn't in the fish-curing line at all, ma'am, but he's a Fellow of his college, as I've told 'ee more than once already; but you're getting old, I see, Miss Luttrell, and your memory isn't just what it had used to be, dost know.'|18|19|[3]|['joy']|1
I doom you not, returned Richard.|0|1|[2, 4]|['fear', 'sadness']|2
"I endeavoured, however, to speak cheerfully as I said: ""Why, of course, death sticks more closely to us than any friend or relative."|11|12|[3, 5]|['joy', 'surprise']|2
"I endeavoured, however, to speak cheerfully as I said: ""Why, of course, death sticks more closely to us than any friend or relative."|25|26|[1, 2, 4]|['disgust', 'fear', 'sadness']|3
I feel the warm blood coursing through my veins--the blood of thirty summers--the prime of early manhood invigorates me, and makes these eyes of mine keen and bright--these muscles strong as iron--this hand powerful of grip--this well-knit form erect and proud of bearing.|0|1|[3]|['joy']|1
I felt like the condemned criminal in France, who does not know the day or hour of his death.|19|20|[1, 2, 4]|['disgust', 'fear', 'sadness']|3
I felt much of this as I led Isaacs to the outer room, not knowing what form his sorrow might take, but feeling in my own person a grief as poignant, perhaps, for the moment, as his own.|43|44|[4]|['sadness']|1
I felt much of this as I led Isaacs to the outer room, not knowing what form his sorrow might take, but feeling in my own person a grief as poignant, perhaps, for the moment, as his own.|28|29|[4]|['sadness']|1
I find discontent where it was formerly unknown.|0|1|[0, 1, 4]|['anger', 'disgust', 'sadness']|3
I gave a view-halloa, took to my heels, collared my gentleman, and brought him back to where there was already quite a group about the screaming child.|31|34|[0, 1, 2, 5]|['anger', 'disgust', 'fear', 'surprise']|4
"I gave the infant back to the nurse, who waited to receive it, and said, with a smile, ""Tell my wife we have welcomed her May-blossom."""|6|8|[3, 5]|['joy', 'surprise']|2
I gazed and gazed again, dazzled and excited, beauty makes such fools of us all!|0|1|[3, 5]|['joy', 'surprise']|2
I glanced at him in surprise.|0|1|[5]|['surprise']|1
I had known he would come, that was all, though I had hoped he would not, and I knew that I must do my best to send him away a little less sorrowful than he had come.|30|31|[4]|['sadness']|1
I had taken a loathing to my gentleman at first sight.|0|1|[1]|['disgust']|1
I have a real esteem for this patrician lady.'|0|1|[3]|['joy']|1
I have been ashamed to keep things from you, she hesitated.|0|1|[1, 4]|['disgust', 'sadness']|2
I have been blind, stone-blind; I have let all true good go by me, and lived on shadows.|9|10|[3, 5]|['joy', 'surprise']|2
I have been taught so cruelly; I have had such time for thought, and see the world so changed.|9|10|[0, 1, 4]|['anger', 'disgust', 'sadness']|3
I have been unfortunate in my mode of expressing myself, he said.|0|1|[4]|['sadness']|1
I have been wretched for days.|0|1|[1, 4]|['disgust', 'sadness']|2
I have bestowed all my worldly possessions on the one man besides yourself to whom I owe a debt of gratitude--John Westonhaugh.|15|16|[3]|['joy']|1
I have certainly no intention of prolonging a painful interview.|0|1|[1, 2, 4]|['disgust', 'fear', 'sadness']|3
I have dreamed, in a long dream, that I adored a girl unkind and beautiful; in all things my superior, but still cold, like ice.|10|11|[3]|['joy']|1
"I have just seen Benoni; I saw him also on the night you left me, madam,--he looked severely at Hedwig,--""and I am reluctantly forced to confess that he is not sane, according to the ordinary standard of the mind."""|32|33|[0, 2, 4]|['anger', 'fear', 'sadness']|3
I have never ceased to hate myself for that day.|0|1|[0, 1]|['anger', 'disgust']|2
I have no law but your desire--so much I love you.'|10|11|[3]|['joy']|1
I have passed a very entertaining day, and played many farces besides that of the cream tarts which procured me the advantage of your acquaintance; for I was determined, as I told you, to bring a foolish career to a still more foolish conclusion; and when you saw me throw my purse into the street, the forty pounds were at an end.  |36|37|[3]|['joy']|1
I have to content myself with the grass and the trees.|0|1|[3]|['joy']|1
I have told it to you, because he is my own dear boy, as I have often said in these pages; and because people must not think that he did wrong to carry Hedwig von Lira away from her father, nor that Hedwig was so very unfilial and heartless. |48|50|[4]|['sadness']|1
I hope it isn't; don't you? |0|1|[3, 5]|['joy', 'surprise']|2
I hope these people will have the sense to go soon.|0|1|[3, 5]|['joy', 'surprise']|2
